seed = 955873387892604119

======================================================================
Testing Stage 4 W=28 (Stage 3 W=34)
======================================================================
Starting MMA Modeling Verification (10000 iterations)...
Test 90/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 91/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 92/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 93/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 94/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 95/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 96/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 97/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 98/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 99/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 100/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 101/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 102/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 103/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 104/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 105/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 106/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 107/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 108/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 109/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 110/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 111/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 112/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 113/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 114/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 115/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 116/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 117/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 118/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 119/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 120/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 121/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 122/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 123/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 124/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 125/10000: K= 512, A=outliers  , B=outliers   ... SUCCESS
Test 126/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 127/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 128/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 129/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 130/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 131/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 132/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 133/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 134/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
Test 135/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 136/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 137/10000: K=1024, A=outliers  , B=outliers   ... SUCCESS
Test 138/10000: K= 256, A=outliers  , B=outliers   ... SUCCESS
Test 139/10000: K= 128, A=outliers  , B=outliers   ... SUCCESS
